,sentence,aspects_seed,pol
24,"this market design proposal encompasses a long , drawn out process for discussing what the northeast market should look like - minimum 12 months - before work begins to develop the new rto .",work,0
25,"in order to finalize it project budgets , decisions will be required from the business units on which projects to undertake in 2002 .",order,0
26,"the reality seems that if you are not interested in trading for a living , you are not on the company 's main commercial track any longer .",company,-1
27,support for a may 1 start is mounting and has become a very public topic consistently referring to may 1 .,support,-1
28,"i know you have a thousand other things on your plate , not the least of which is california , so i understand if the answer is no .",california,-1
29,this would be due to socal 's market not burning their schedule .,market,-1
30,the work is completed and the project is closed .,project,1
31," information technology , will take a focused look at the latest advances being made in the energy market , s systems and technologies .",energy,0
32,"steve , thanks for the meeting today , if you would like me to sit down and go through some of the issues and risks associated with the it elements of the project , we can meet and have a more focused discussion .",project,0
33,"steve , thanks for the meeting today , if you would like me to sit down and go through some of the issues and risks associated with the it elements of the project , we can meet and have a more focused discussion .",issues,0
34,"utility coal stockpiles dwindled , and prices have risen to their highest levels since at least 1989 .",prices,-1
35,"this impacts not only the prc , but how we look at compensation across the levels , function performed - e.g. , commercial , commercial support , technical - and specialization areas - e.g. , legal , accounting , it , engineering , hr , etc. - with respect to current yearend prc , it is hard to change the agreed process midstream .",support,0
36,we will be offering training/demo 's of the new system for internal users on the below dates .,system,1
37,"only two years ago , sithe energies was one of the largest independent power producers in the united states , operating 43 power plants from new jersey to california .",california,0
38,"calvin , i just wish to report that starting tomorrow jefferson will supply the third person to compaq in support of the enron windows 2000 project .",support,1
39,thxs delainey  ,delainey,0
40,"tva , despite having taken steps to participate in reformed markets , has acted as a bulwark against the development of competitive energy markets in the se .",development,-1
41,"we are energized and focused on our mission , which has been the same for 25 years : to help americans travel smartly , safely , and affordably in a way that broadens our understanding of this planet and our place in it .",place,0
42,"there are several positions available , including : alliance to save energy development associate  http://www.ase.org/about/humanr.htm  the american council for an energy-efficient economy energy policy director  http://www.aceee.org/   contact us need to reach someone at the alliance to save energy ?",development,0
43,"there are several positions available , including : alliance to save energy development associate  http://www.ase.org/about/humanr.htm  the american council for an energy-efficient economy energy policy director  http://www.aceee.org/   contact us need to reach someone at the alliance to save energy ?",policy,0
44,"i encourage your participation in the game , but more importantly , encourage your generous participation in enron 's united way campaign .",enron,1
45,we need to be in this business like a hole in the head .,business,-1
46,"the sale generated an immediate capital gain of about $ 450 million for sithe energies , indicating that its generation assets were bringing strong shareholder value for its investors , even if the company appeared to be exiting the generation market .",company,0
47,but mr. welch 's successor may find that turning ge into the world 's first $ 3 trillion company is even harder .,company,1
48,"governor knowles - classmate of george w. - , along with governor taft of ohio , has enlisted us in a conference that seven governors are sponsoring on natural gas in order to elucidate the market and issues  and needs  before it explodes as a political issue  and perhaps helps head it off - in contrast to what happened with gasoline - . ?",market,-1
49,"governor knowles - classmate of george w. - , along with governor taft of ohio , has enlisted us in a conference that seven governors are sponsoring on natural gas in order to elucidate the market and issues  and needs  before it explodes as a political issue  and perhaps helps head it off - in contrast to what happened with gasoline - . ?",issue,-1
50,"governor knowles - classmate of george w. - , along with governor taft of ohio , has enlisted us in a conference that seven governors are sponsoring on natural gas in order to elucidate the market and issues  and needs  before it explodes as a political issue  and perhaps helps head it off - in contrast to what happened with gasoline - . ?",order,0
51,"governor knowles - classmate of george w. - , along with governor taft of ohio , has enlisted us in a conference that seven governors are sponsoring on natural gas in order to elucidate the market and issues  and needs  before it explodes as a political issue  and perhaps helps head it off - in contrast to what happened with gasoline - . ?",issues,-1
52,"consistent with these changes , the calme group will be divided as follows .",changes,1
53,"since ken lay once worked for murray when murray was assistant secretary of the treasury , i wondered if enron might be interested in jointly sponsoring a breakfast or luncheon talk by murray sometime after the first of the year .",enron,1
54,"even though ferc has approved epmi 's market-based rate certificate after a finding that we had no market power , this complaint would restrict us from selling at above $ 250 per mwh into the calif iso and calif px .",market,0
55,protests of the following utilities will be very short - shown below - stating that ferc should condition the continuation of market based rates upon the utility joining a valid fully functioning rto .,utilities,1
56,protests of the following utilities will be very short - shown below - stating that ferc should condition the continuation of market based rates upon the utility joining a valid fully functioning rto .,market,1
57,i am reviewing the contract in place between pw and enron to understand the affects of this move by emery and his staff on the agreement .,enron,0
58,i am reviewing the contract in place between pw and enron to understand the affects of this move by emery and his staff on the agreement .,place,0
59,i am reviewing the contract in place between pw and enron to understand the affects of this move by emery and his staff on the agreement .,agreement,0
60,i am reviewing the contract in place between pw and enron to understand the affects of this move by emery and his staff on the agreement .,staff,0
61,the council was created last year in order to create a bridge between democratic senators and key leaders of the new economy .,order,0
62,"gary schmitt was somewhat optimistic , but he had not seen the full order yet so he was still reserved .",order,-1
63,"staffers at the florida black business investment board , where mr. peek works as a business-development specialist , said he had taken last week off .",business,0
64,"the increases are dur to the following changes from our initial budget : a - planned purchase of the neighbor 's house $ 140,000 b - added cost of the sewer line $ 59,000 c - output bonus on the pda for max 5 mw $ 1,725,000 d - idc increase from increase in interest rates $ 574,000 total $ 2,498,000 2 - .",cost,-1
65,"the increases are dur to the following changes from our initial budget : a - planned purchase of the neighbor 's house $ 140,000 b - added cost of the sewer line $ 59,000 c - output bonus on the pda for max 5 mw $ 1,725,000 d - idc increase from increase in interest rates $ 574,000 total $ 2,498,000 2 - .",changes,0
66,"and : all permitting issues are either resolved or resolvable or , if : we can find an as-is , where-is buyer for the barges with/without the ppa - coned , montauk , nrg - then : ena will purchase the barges from bargeco - barges are currently located in brooklyn - else : we will not purchase the barges and will shut down the lipa deal .",issues,1
67,"mines and energy ministry officials had at first hoped to delay any blackouts until august , concentrating first on a program to induce consumers to reduce energy use .",energy,0
68,"mines and energy ministry officials had at first hoped to delay any blackouts until august , concentrating first on a program to induce consumers to reduce energy use .",program,1
69,"unlike the big banks and power companies that are on the hook for millions , proprietor kenneth chen does business with pge on a strictly pay-as-you-go business .",business,1
70,"so far , mark is the only one that has responded with a conflict .",mark,-1
71,ft4 mobile unit i understand from mike miller you want to slow the pace down on the first ten units to learn out the manufacturing and business process .,business,0
72,settlement process that allows for market clearing prices of energy to be paid for load reduction -  negawatts 8 - .,energy,0
73,"vivendi has been in the process of spinning off a new utilities arm named vivendi environnment , which will provide energy services such as equipment installation and maintenance , as well as water and wastewater treatment .",process,1
74,charlie 's sense is that the term sheets that we should receive by year end will be at a valuation lower than the $ 80 mm that hq has been advertising to the company - and us - .,company,1
75,"again , rather than pay a competitive , performance-based wage , enron has adopted a tight-fisted , socialistic pay grade to better serve expenses .",enron,-1
76,"the purpose of this memo is to reassure you that the direction , philosophy , and importance of the program remains unchanged .",program,1
77,assist the company in its recruiting efforts concerning the university .,company,1
78,"indeed , the legislation , and the legislative history , clearly conform to this underlying policy rationale .",policy rationale,0
79,ngpl eddy - i have received facility planning 's preliminary comments on the interconnect agreement and am still awaiting legal 's comments in order to return tw 's comments to ngpl .,order,0
80,"traditionally , the french surrender immediately and , apart from a temporary shortage of scotch whisky and increased difficulty in getting baseball scores and stock market prices , life for the american visitor generally goes on much as before .",market,0
81, require market participants to schedule 95 percent of their transactions in the day-ahead markets to reduce chronic underscheduling of load and generation and over-reliance on the iso 's real-time imbalance market to meet supply .,generation,-1
82, require market participants to schedule 95 percent of their transactions in the day-ahead markets to reduce chronic underscheduling of load and generation and over-reliance on the iso 's real-time imbalance market to meet supply .,markets,0
83,"sincerely , carol brown office of the chairman enron broadband services , inc. 713.853.7974 713.853.9469 - fax carolbrown@enron.net.",enron,0
84,season long involvement end-zone advertising 1 full-page color ad in the stamp 's 2001 yearbook 12 season tickets 12 red  white club memberships cost would be approx $ 100k cdn - still be negotiated - .,cost,0
85,"corporate lobbyists also have dug up a speech that vice president dick cheney , while chief executive of halliburton , gave in 1997 praising the bank and scoffing at those who consider it a giveaway to big business .",president,0
86,"corporate lobbyists also have dug up a speech that vice president dick cheney , while chief executive of halliburton , gave in 1997 praising the bank and scoffing at those who consider it a giveaway to big business .",business,0
87,"the sense he got from the call was that almost every company was planning to pay employees the difference between their normal wages and military base pay , exclusive of allowances , for a certain period which varied among the companies .",company,0
88,"the sense he got from the call was that almost every company was planning to pay employees the difference between their normal wages and military base pay , exclusive of allowances , for a certain period which varied among the companies .",companies,0
89,"as a result of those wires stories , the utilities ' stock has come back - edison was down as low as 6.25 and is currently at 10 7/8  pge was at 8 7/8 and is currently at 11 7/8 - .",utilities,1
90,davis confidantes say there was no single event that led to the governor 's decision to position himself as the man who would lead california out of the crisis .,california,-1
91,this year 's keynote session is entitled the e-commerce revolution : innovations and opportunity in the electronic energy marketplace .,opportunity,1
92,"as i mentioned earlier , i do n't believe that wellstone will ever look at our issues in a rational or market oriented manner .",issues,-1
93,"as i mentioned earlier , i do n't believe that wellstone will ever look at our issues in a rational or market oriented manner .",market,1
94,"based on our research and enron 's reputation for having innovative and successful programs for developing leaders , we are very interested in talking with you to benchmark enron 's leadership development process .",development,1
95,"based on our research and enron 's reputation for having innovative and successful programs for developing leaders , we are very interested in talking with you to benchmark enron 's leadership development process .",enron,1
96,"we , ll end the day with a reception at the capitol to which we will invite the entire texas delegation , houstonians in the administration , the texas office of state-federal relations , washington-based staff of partnership-member companies , and so forth . ?",companies,0
97,"we , ll end the day with a reception at the capitol to which we will invite the entire texas delegation , houstonians in the administration , the texas office of state-federal relations , washington-based staff of partnership-member companies , and so forth . ?",staff,0
98,will it be better to use the markets outside califorinia or to rely on direct trading ?,markets,1
99,"over the last three years , retailers like green mountain energy and utility.com bought green power already available in california and started to invest in building their own renewable energy generators , like windmill farms and large solar-panel assemblies .",california,0
100,"over the last three years , retailers like green mountain energy and utility.com bought green power already available in california and started to invest in building their own renewable energy generators , like windmill farms and large solar-panel assemblies .",power,1
101,i enjoyed meeting you at the enron excellence awards presentation and genuinely appreciate your support .,support,1
102,"move toward structured rates clearly , though , momentum is building toward a system of structured power rates , which probably would include increases of varying sizes for consumers .",system,1
103,"revenue side or cost side contract terms that impact the deal - for example , movement in pricing terms given some event - i also think that we should have at least 3 working days to review this package .",deal,1
104,"during these years , i have done some of my best work . ?",work,1
105,"i would rather have them concentrate on getting 6 or 7 meetings right , getting the company back on track and ?",company,-1
106,"pst any officer can sign for enron  generally speaking , we like to have the bu head sign .",enron,1
107,only just begun questions abound regarding enron 's role as a physical supplier of steel as well .,enron,-1
108,"directors of facility audits , chuck goode and steve allen will report to mike and be responsible for leading the corporate operations management system audits of assets .",system,1
109,"most of all , what plans , resources , determination and leadership are necessary now to get houston to its desirable future ?",future,1
110,the vast majority 80 %  is prepaid energy which will be recovered from the customer .,energy,0
111,i would like him under your supervision to manage our coal power development strategy - like we discussed it could be a very robust strategy with multiple exit points .,development,1
112,i would like him under your supervision to manage our coal power development strategy - like we discussed it could be a very robust strategy with multiple exit points .,power,1
113,"and do n't forget , enron will match your pledge to this very worthy cause 1-1 .",enron,1
114,- with upgrade to 60 hz available - the power will be transported to shore by overhead transmission lines at generator voltage .,power,0
115,"in a separate development , vivendi , supported by sithe energies , developed a partnership with a company named softbank to establish a unit called k road ventures .",development,0
116,"in a separate development , vivendi , supported by sithe energies , developed a partnership with a company named softbank to establish a unit called k road ventures .",company,0
117,we will be assembling the due diligence team this week and then we will meet to create a plan for the process while we have access to the data room .,access,1
118,we will be assembling the due diligence team this week and then we will meet to create a plan for the process while we have access to the data room .,process,1
119,"restructuring precedes eventual privatization , which will begin with distribution , followed by generation .",generation,0
120,i thought that you would want to take a look at some analysis we have recently completed with regard to the california power crisis .,power,0
121,"the battle pits investor-owned utilities against large manufacturers that want cheap power and independent power companies , such as enron corp. , that want to compete with utilities .",companies,0
122,"the battle pits investor-owned utilities against large manufacturers that want cheap power and independent power companies , such as enron corp. , that want to compete with utilities .",utilities,0
123,"the battle pits investor-owned utilities against large manufacturers that want cheap power and independent power companies , such as enron corp. , that want to compete with utilities .",power,0
124,sally beck and jeff shankman have agreed to be the executive sposors for the convention and neil davies and me will be the project leads on this effort - we can be reached at 3-7229 and 3-5275 respectively - .,project,0
125,"for budgetary reasons , it is critical for every ega member to participate in this exercise and document his/her share of significant value added .",value,1
126,let us know if you would like to see additional items on the report or if you have questions about the data .,report,1
127,"even if enron is n't selected as the winning bid , the coalition should trumpet the market-based solution and the enormous market response to sdge 's rfp .",market,1
128,"even if enron is n't selected as the winning bid , the coalition should trumpet the market-based solution and the enormous market response to sdge 's rfp .",enron,1
129,"sierra pacific 's plan to shore up its financial position through the sale of its 10 power plants , worth nearly $ 2 billion , may also be in jeopardy .",position,-1
130,if it is not possible for these orgs to work together lets not try and force them - ie - we will manage our own business and contract with nepco when and if it makes sense .,business,1
131,"during this critical time , it is imperative that our management team remain focused on our business and continue to address the challenges currently facing our company .",company,1
132,"during this critical time , it is imperative that our management team remain focused on our business and continue to address the challenges currently facing our company .",business,-1
133,in my opinion the company is not at risk and potentially ena could create significant value from a project that we have very little invested .,project,1
134,in my opinion the company is not at risk and potentially ena could create significant value from a project that we have very little invested .,value,1
135,does the opuc appreciate that you are short in anticipation of open access ?,access,1
136,"employees are also being asked to participate in the security of their workplace by following these guidelines  report suspicious activity to security - phone 3-6300 - , do not open secured doors for individuals unknown to you or hold doors open , allowing tail gating by others .",report,0
137,the emphasis will be to work on only the largest deals - by energy commodity spend - in those markets where we already have a robust wholesale energy business and there is regulated and economic third party access to retail power distribution systems .,access,1
138,the emphasis will be to work on only the largest deals - by energy commodity spend - in those markets where we already have a robust wholesale energy business and there is regulated and economic third party access to retail power distribution systems .,energy,0
139,the emphasis will be to work on only the largest deals - by energy commodity spend - in those markets where we already have a robust wholesale energy business and there is regulated and economic third party access to retail power distribution systems .,markets,1
140,thanks regards delainey  ,delainey,0
141,"reduction in variable overheads : the $ 3,000,000 in variable overhead reduction is the number that you offered to cut this cost in our meeting last friday .",cost,-1
142,"since that initial meeting , emerson has aggressively pursued a business joint venture as preferred supplier with martin wenzel and the distributed power business , i believe with promising results .",power,1
143,i understand that i am subject to having all of my activities on this system monitored and recorded .,system,-1
144,all companies will require substantial investment for upgrades .,companies,-1
145,"houstonians have debated this issue for years , and some people will adhere , no matter what , to the philosophy that sports teams should n't be publicly subsidized .",issue,-1
146,"not only will he moderate all three presidential debates sponsored by the bipartisan commission on presidential debates , but , under an agreement completed over the weekend , he will do so under rules giving him more flexibility than ever before .",agreement,1
147,moody 's has put both reliant energy inc. and at least two of its subsidiaries on watch for possible downgrade from their baa 1 status .,energy,0
148,i look forward to your participation in the program and know you will find it to be an interesting and rewarding experience .,program,1
149,i mentioned that i might call you and he has no problem with that .,problem,0
150,we also intend to publish a special supplement that will provide awards winners with an excellent opportunity to celebrate their achievements through advertising .,opportunity,1
151,"we do n't yet have reservations for ken as everything is locked up by the republicans , but i have been assured they will be forthcoming .",ken,-1
152,taiwan vows to safeguard free speech over controversial book taiwan 's president chen shui-ban has vowed to safeguard the island 's freedom of speech as a row over a controversial japanese comic book continued to divide the state .,president,0
153,"no. 1 , japan 's energy angst and the caspian great game , by kent e. calder , director of princeton university 's program on u.s.-japan relations and former special advisor to u.s. ambassadors thomas foley and walter mondale .",program,0
154,"- the ghg reduction targets contained in the kyoto protocol are 6 % for japan , 7 % for the u.s.a. , 8 % for the eu - specific content for the flexibility mechanism/kyoto mechanism - for international emissions trading - iet - , joint implement - ji - , and clean development mechanism - cdm - - will be decided on at cop6 , which is scheduled for november 2000 .",development,0
155,"50,000 / day  31 days  $ 0.7468$ 1,157,540.00 duke energy trading and marketing , llc 25,000 / day  31 days  $ 1.1600$ 899,000.00 these amounts will be billed to the acquiring shippers and once payments are received , pge will subsequently receive reimbursement .",energy,0
156,the presentations will highlight the technical challenges facing news organisations as they seek to have an effective and substantial presence across multiple delivery platforms while seeking to reduce running costs .,costs,-1
157,"i am not convinced that the ultimate form of the deal for minority participation in enron field was , in fact , what was intended .",deal,-1
158,dan and marty have been instrumental in the development and execution of the successful ees business model .,development,1
159,dan and marty have been instrumental in the development and execution of the successful ees business model .,business,1
160,steve and rick : you may have heard that ebs is winding down its business in the asia pacific region .,business,0
161,thxs regards delainey  ,delainey,0
162,"peak prices were radically lower this summer because utilities appear to have been better prepared for peak events through the use of forward contracts , increased generation capacity on line and reduced number of forced outages .",contracts,1
163,"peak prices were radically lower this summer because utilities appear to have been better prepared for peak events through the use of forward contracts , increased generation capacity on line and reduced number of forced outages .",capacity,1
164,"peak prices were radically lower this summer because utilities appear to have been better prepared for peak events through the use of forward contracts , increased generation capacity on line and reduced number of forced outages .",utilities,1
165,"since byu , semester end earlier than other universities , i am hoping this will benefit with a potential intern position with enron .",enron,1
166,enron should confirm and advise whether the delayed closing date - april 2001 - as reflected in section 3.1 is acceptable .,enron,0
167,"but being a standout performer for more than a few years at a time is a daunting challenge for any company , large or small .",company,-1
168,"at 9 a.m. , the independent system operator , which controls most of california 's grid , ended a stage 1 alert .",california,0
169,"at 9 a.m. , the independent system operator , which controls most of california 's grid , ended a stage 1 alert .",system,-1
170,"as reliant attempts to penetrate new competitive markets , it intends to make itself an appealing investment opportunity for investors who are more growth oriented and tolerant of risk , - as described by letbetter - .",markets,1
171,"we have confirmed that the municipality can provide 600 usgpm of water , but the silica content has to be confirmed to see if it 's a problem .",problem,-1
172,kaufman and i thought that it would be particularly helpful for arizona gov hull and idaho gov kempthorne to hear ken 's remarks and have a chance to talk with him .,ken,1
173,we will have two meetingss - one for traders and one for other commercial staff - orig/finance/etc - .,staff,0
174,i may have an opportunity there and would appreciate your help .,opportunity,1
175,"toward that end , constellation acknowledged earlier that it would be taking advantage of bargain prices for nuclear plants , which resulted in large part from other utilities focusing on transmission operations and thus choosing , or being mandated , to divest their generation plants .",prices,1
176,"toward that end , constellation acknowledged earlier that it would be taking advantage of bargain prices for nuclear plants , which resulted in large part from other utilities focusing on transmission operations and thus choosing , or being mandated , to divest their generation plants .",utilities,0
177,"few people in the program understand it fully , no one knows exactly what occurs in the meetings , and no one believes the results are truly equitable .",program,-1
178,enron energy services has created explosive growth in the retail energy business .,business,1
179,i would suggest that either i can meet with dan l. to understand his views or that we have another joint meeting with you and dan 's team to resolve .,team,0
180,"mideast oil jitters , cold weather , natural gas price spikes , and the plain unpredictable freedom of the free market caused wholesale electricity costs to rise and california utilities to go $ 12 billion into the red .",price,-1
181,"mideast oil jitters , cold weather , natural gas price spikes , and the plain unpredictable freedom of the free market caused wholesale electricity costs to rise and california utilities to go $ 12 billion into the red .",market,-1
182,"great work , valeria !",work,1
183,"this broke the monopolies of the ten regional ious for the first time , but high transmission access fees set by the incumbents are inhibiting true competition .",access,-1
184,"the company is fielding calls from large industrial customers in san diego that have seen their utility bills triple in the past three months and are interested in signing long-term fixed-rate contracts , buchanan said .",contracts,1
185,"the company is fielding calls from large industrial customers in san diego that have seen their utility bills triple in the past three months and are interested in signing long-term fixed-rate contracts , buchanan said .",customers,1
186,"the company is fielding calls from large industrial customers in san diego that have seen their utility bills triple in the past three months and are interested in signing long-term fixed-rate contracts , buchanan said .",company,0
187,this would require the owner to maintain a contingency in his proforma above the most likely expected cost of $ 202mm .,cost,-1
188,"during this meeting , we will discuss : general description of the project what data needs to be requested to be included in the data room assignments in the data room timing of visiting the data room please contact me if you are unable to attend or need to send a substitute representative .",project,0
189,"this may be just the move that exelon has in mind as a complete acquisition of sithe 's assets would increase exelon 's generation portfolio to 46,500 mw , which is perhaps just what it needs to secure its place as one of the nation 's top generating companies and keep it in the running with fpl / entergy .",place,0
190,"this may be just the move that exelon has in mind as a complete acquisition of sithe 's assets would increase exelon 's generation portfolio to 46,500 mw , which is perhaps just what it needs to secure its place as one of the nation 's top generating companies and keep it in the running with fpl / entergy .",companies,0
191,"next month , sen. jeff bingaman - d-n.m. - , chairman of the energy and natural resources committee , plans to propose legislation giving ferc expanded powers over wholesale transactions and transmission , so that vested interests will not be able to manipulate the use of the transmission system to benefit their own plants , bingaman 's office said .",energy,0
192,"next month , sen. jeff bingaman - d-n.m. - , chairman of the energy and natural resources committee , plans to propose legislation giving ferc expanded powers over wholesale transactions and transmission , so that vested interests will not be able to manipulate the use of the transmission system to benefit their own plants , bingaman 's office said .",chairman,0
193,will you have access to all current/former employees ' information ?,access,0
194,i think  enron will be a good thing for some people and a non-event for others .,enron,1
195,"boasts enron president jeffrey skilling : in terms of dollars transacted , we 're the world 's largest online site by a factor of 10 .",president,1
196,"boasts enron president jeffrey skilling : in terms of dollars transacted , we 're the world 's largest online site by a factor of 10 .",enron,1
197,"floor , checking her books , said it looks like pge forgot to pay its $ 100 bill to cover a costume rental for a corporate dress-up party in 1992 .",bill,-1
198,"but a surprising number are businesses that , at first blush , might seem unlikely to be power company creditors .",power,0
199,call  writing there will be one last meeting scheduled after the conference call meeting takes place to go over the final draft .,place,0
200,"california 34 these numbers underscore the importance of building a healthy foundation on which electric competition can grow , said ken malloy , ceo of the center .",ken,0
201,"with a little boost , it 's not too late to bring this picture into line with enron 's vision of retaining topnotch people .",enron,1
202,"enron will be hosting three eef visitors from india on wednesday , october 18 , 2000 : mr. sanjeev ahluwalia , secretary of the central electricity regulatory commission  mr. sreenivasan jain , newscaster , new delhi tv  and mr. jawed usmani , joint secretary , office of the prime minister .",electricity,0
203,"enron will be hosting three eef visitors from india on wednesday , october 18 , 2000 : mr. sanjeev ahluwalia , secretary of the central electricity regulatory commission  mr. sreenivasan jain , newscaster , new delhi tv  and mr. jawed usmani , joint secretary , office of the prime minister .",enron,0
204,"importantly , however , ferc also states that , iso has no more or less ability to procure capacity and energy than any other buyer of these services ... if the iso is unable to elicit sufficient supplies at or below its announced purchase price ceiling - because generators are free to sell elsewhere if they choose - , it will have to raise its purchase price to the level necessary to meet its needs .",services,0
205,"importantly , however , ferc also states that , iso has no more or less ability to procure capacity and energy than any other buyer of these services ... if the iso is unable to elicit sufficient supplies at or below its announced purchase price ceiling - because generators are free to sell elsewhere if they choose - , it will have to raise its purchase price to the level necessary to meet its needs .",energy,0
206,"importantly , however , ferc also states that , iso has no more or less ability to procure capacity and energy than any other buyer of these services ... if the iso is unable to elicit sufficient supplies at or below its announced purchase price ceiling - because generators are free to sell elsewhere if they choose - , it will have to raise its purchase price to the level necessary to meet its needs .",capacity,0
207,"managing all new power and asset development opportunities in south america consistent with this strategy , and ?",power,1
208,his contact information follows : william r. donovan - bill - 713.853.5459 thank you .,bill,0
209,"if mr. atta attempts to enter the facility please call any one of the following individuals : steve kean executive vice president and chief of staff - 3-1586 -  home - 713.621.6550 - john brindle senior director , business controls - 3-3843 - john presley business controls please deal with mr. atta firmly but with courtesy and respect .",staff,0
210,it is always difficult to talk through all of the area 's when both philippe and bill are together .,bill,-1
211,"stuart will continue in a customer facing capacity as a lead originator , whilst ensuring that all of the dimensions that comprise the outsourcing team remain appropriately focussed .",capacity,0
212,endesa - spain - must divest one of its two buenos aires distributors due to antitrust concerns - endesa 's two companies are now serving 40 % of the countries 36 million people - .,companies,-1
213,"baxter is a key member of the team that built enron 's successful wholesale energy business , said chairman and ceo kenneth lay .",enron,1
214,"baxter is a key member of the team that built enron 's successful wholesale energy business , said chairman and ceo kenneth lay .",chairman,0
215,"baxter is a key member of the team that built enron 's successful wholesale energy business , said chairman and ceo kenneth lay .",team,1
216,fernando alonso admitted to me today that secretary martens wanted to hear mr. lays opinion on this subject and perhaps recieve some advice with respect to talking points for president fox with president bush regarding energy policy .,energy policy,0
217,"however , considering that there is only a limited number of nuclear plants in the united states that will become available for purchase , constellation energy group may have recognized the need to become even more diversified .",energy,0
218,cohen said she made her decision before hearing that the state 's power costs now exceed $ 70 million a day .,power,-1
219,"nov. 2 email text we at cornell 's johnson school would like to establish a stronger link with enron , a company which we believe to be a leading example of the agile organization which will dominate in the dynamic , unpredictable markets of the next decade .",company,1
220,"nov. 2 email text we at cornell 's johnson school would like to establish a stronger link with enron , a company which we believe to be a leading example of the agile organization which will dominate in the dynamic , unpredictable markets of the next decade .",markets,-1
221,"nov. 2 email text we at cornell 's johnson school would like to establish a stronger link with enron , a company which we believe to be a leading example of the agile organization which will dominate in the dynamic , unpredictable markets of the next decade .",enron,1
222,"- sort of - as you may know , enron has ceased all funding of the efforst made by the energy services coalition an entity that it was instrumental in establishing .",enron,-1
223,all the best in the future .,future,1
224,"maybe all of this will help ge to become one of the first companies to marry the rule-busting , business-building ethos of the new economy with the old economy virtues of scale , efficiency and quality .",companies,1
225,"the water department until recently resisted buying all the power southern california edison and pacific gas and electric co. needed , refusing to purchase electricity it deemed too costly .",california,0
226,"the water department until recently resisted buying all the power southern california edison and pacific gas and electric co. needed , refusing to purchase electricity it deemed too costly .",power,0
227,this will help me facilitate the process .,process,1
